Date;spotted.de;meckr.net;womenweb.de;kochrezepte.de;spontacts.com;autoinfo.de;hoccer.com;einfachlotto.de;yasni.de;tape.tv;merkando.de;make.tv;ferien-touristik.de;dailyme.de
09.08.14;200192;10894812;76656;63044;231265;344297;1902491;466030;;22421;661162;240185;1983057;1551872
10.08.14;202942;10897439;75251;62148;231309;348636;2046295;;9912;22529;659037;239092;1982869;1551520
11.08.14;204344;10912495;74712;62167;230884;340400;2051138;;;22610;650604;240433;2128443;1596941
12.08.14;205877;10905391;73913;61634;235644;339656;2050741;453749;;22747;655587;238123;2281550;1596624
13.08.14;205516;10901411;74227;61215;235647;338157;2050766;453759;9867;22608;662911;241130;2279519;1595034
14.08.14;205102;10904717;74220;60757;237246;340549;2051565;458522;9898;22598;663267;245913;2280668;1595771
15.08.14;203646;7180623;73950;60744;237424;337058;2050803;453434;9866;22416;664926;240415;2286316;1500794
16.08.14;204296;7175880;74533;60786;232154;342993;2049010;;;22416;665155;239230;2287612;1436175
17.08.14;206736;7179772;73773;60640;232914;346328;1906002;;9904;22409;646338;237972;2288234;1317567
18.08.14;207289;7196338;73480;60890;233566;344102;1911055;;;22362;645462;232906;2122090;1317889
19.08.14;207145;7197891;72689;60820;232030;344294;1912244;;;22408;656339;231991;2335668;1318123
20.08.14;208623;7200735;71791;61253;233466;341128;1912605;446112;;22404;647789;237868;2333553;1258249
21.08.14;208721;7202252;71140;61605;231222;340944;1913089;;9881;22385;648117;241006;2101509;1207920
22.08.14;210540;7200820;70674;62567;233706;333289;1913258;401164;9853;22375;661681;248513;2107458;1211288
23.08.14;213704;7194877;70227;63451;236778;341679;2007579;407458;;22519;662419;236966;2109398;1164904
24.08.14;216711;7197499;70538;64586;236964;340526;2008804;407544;9885;22557;662795;235667;1958140;1096775
25.08.14;218443;7211423;70985;65383;238836;342713;2084969;401753;;22550;662969;235427;1958551;1097291
26.08.14;217425;7216110;71387;66027;242238;341122;2086971;406497;;22580;662649;232400;2114341;1097515
27.08.14;219895;7216489;71279;66624;239859;343044;2199074;410191;9900;22520;662090;232284;2501014;1057847
28.08.14;221423;7217957;71514;66682;239070;343263;2199503;406560;9887;22780;662359;234255;2502390;1058075
29.08.14;224279;7217691;71320;67332;235645;343297;2199476;406657;;22955;663763;235346;2507620;1020007
30.08.14;219762;7211780;71207;67413;238401;342953;2197167;395266;9899;22996;674584;233573;2388502;974375
31.08.14;225221;7215108;71159;68570;238785;346270;2197935;390200;9895;23317;701015;226137;2244020;958772
01.09.14;230144;7229026;70743;69891;235252;352877;2202710;382545;9925;23312;701015;226137;2244020;958772
02.09.14;230599;7232628;71344;70296;232509;355068;2101643;382861;9924;23034;690910;225635;2243763;938994
03.09.14;236989;7237538;72479;70877;234286;359619;1441701;378660;9984;23106;682051;228026;2241389;954927
04.09.14;236989;7237538;72479;70877;234286;359619;1441701;378660;9984;23106;682223;226208;2242284;955121
05.09.14;235787;7237176;72783;69084;231495;363718;1441531;371931;10075;23077;665768;227105;2247340;957362
06.09.14;235873;7230821;72328;69100;235060;363293;1439845;377666;10059;23055;692900;230020;2248386;907885
07.09.14;291739;7232252;72456;68730;235138;359010;1440076;382790;10000;23219;672660;231112;2248518;908052
08.09.14;231283;7245679;72022;68911;235836;359853;1443212;379875;9970;23338;684069;232402;2122726;926524
09.09.14;239537;7248824;72729;;233065;373673;1395486;380116;9942;23387;686597;225273;1998583;894572
10.09.14;241697;7248870;71786;68918;234093;376013;1395480;384111;9919;23464;663908;220595;1996394;893492
11.09.14;230144;7251004;72886;;228647;380703;1328535;384123;9839;23644;678289;221886;1996926;886159
12.09.14;230599;7250299;73387;70621;229787;386683;1328358;387025;9833;23713;679812;225617;2001396;844472
13.09.14;251007;;72481;69693;232851;383379;1391206;428776;9820;23669;701340;224678;2001890;826374
14.09.14;254436;;71991;67953;230780;392376;1391243;387563;9824;23858;701651;223981;1871780;803590
15.09.14;;7248870;71207;67572;229228;365504;1344910;388335;9754;23910;692477;220809;1871796;789673
16.09.14;;;70621;67628;227836;359586;1330596;385753;9743;24052;692356;220801;1871611;789465
17.09.14;;;70099;;230101;356018;1339750;398444;9742;24115;691231;224374;1868511;788143
18.09.14;;;69253;68205;228892;344279;1320246;395495;9761;24404;691295;220384;1868267;819045
19.09.14;274564;;69176;;226978;351340;1320129;401830;9767;24396;692921;220404;1872497;808732
20.09.14;;;;;228594;353198;1318060;401219;9774;24548;709249;220734;1872492;823284
21.09.14;273722;7248859;68562;;224724;349394;1318228;402228;9793;24738;737338;221151;1872433;837831
22.09.14;;7263947;;70774;223908;350248;1321219;397423;9762;24819;737193;222242;1872124;793173
23.09.14;285349;7263627;66666;71131;223980;348801;1290918;402840;9759;24662;741757;222162;1871673;792903
24.09.14;;7263145;;70870;229119;350760;1331392;403020;9729;24858;724031;231039;1868642;791703
25.09.14;256600;7263848;65037;70738;230789;352744;1331267;411285;9724;25107;724162;228969;1868595;791743
26.09.14;;;64466;71088;232810;352680;1330887;430289;9736;25356;716166;228619;1872838;788894
27.09.14;;7248859;63877;71018;234624;353292;1329020;434057;9727;25489;716261;226587;1872787;800019
28.09.14;270291;7252930;64386;71108;232863;351692;1329136;428776;9686;25723;745020;227156;1872167;777426
29.09.14;;7267777;63920;72243;228714;362301;1331701;439423;9662;25691;719638;224615;1871515;777138
30.09.14;;7266721;63013;72735;226269;359645;1331609;440212;9664;25652;736981;224927;1866699;795597
01.10.14;312574;9134591;62310;72146;226111;359740;1331172;446511;9661;25813;750522;223851;1862063;793375
02.10.14;312480;9127196;61926;72156;223538;358404;1358405;446340;9594;25932;749563;221018;1859139;792074
03.10.14;311576;9105043;62063;72298;221769;355441;1354727;450644;9665;26057;744330;223289;1824872;792237
04.10.14;311795;9081916;61678;72518;220612;361727;1351179;447291;9729;26360;753456;222752;1751808;788877
05.10.14;309506;9072139;61156;72200;223541;358871;1326765;474929;9772;26710;747216;223930;1873331;798493
06.10.14;328171;9071617;60547;72091;218724;360670;1307685;481791;9766;26971;738055;223494;1870136;782194
07.10.14;328798;9051602;60350;71913;217163;366193;1286898;485737;9813;27059;736399;225629;1866484;780490
08.10.14;332583;9036282;59784;71381;215200;367405;1253115;484856;9885;27235;744630;224997;1861122;772163
09.10.14;332041;12196613;59576;72120;213896;367306;1250966;496810;9905;27518;743533;223681;1858675;768095
10.10.14;325701;12182265;59180;71674;211227;364333;1248104;498840;9908;27695;743713;223360;1811906;761354
11.10.14;326391;12159831;58935;71845;206974;368616;1244674;492208;9933;28035;744671;223552;1807723;753068
12.10.14;332197;12144373;58278;72634;205418;368983;1242739;491396;9977;28260;761385;224450;1782445;758825
13.10.14;333861;12149830;58208;73810;203836;377661;1243226;498469;9971;28522;759814;227684;1717639;746093
14.10.14;331049;12132357;57820;73743;204218;372245;1228892;497091;9963;28874;776414;227520;1713843;750447
15.10.14;341575;12118279;57511;74119;205419;368648;1226092;491620;9980;29313;767743;226162;1709115;747995
16.10.14;344570;12104041;57115;74431;204442;366031;1212748;493153;10037;29625;766403;223698;1673626;746726
17.10.14;345639;12089472;56777;75013;199680;356848;1198788;491789;10046;29798;754063;225080;1649343;746823
18.10.14;345697;12063833;55994;75086;198031;354543;1195257;491695;10084;30060;775017;225783;1646179;754298
19.10.14;345054;12047431;55042;74680;197761;362759;1193286;508904;10090;30455;768937;224349;1618564;731093
20.10.14;349893;12050067;54439;75381;199722;373119;1183937;509003;10083;30589;766816;224973;1687880;729217
21.10.14;346690;12034248;54382;76211;197165;371926;1193867;516592;10093;30748;764774;226149;1683777;727350
22.10.14;350294;12016497;54127;76845;199658;369871;1191129;524842;10126;30760;771659;225675;1678828;725140
23.10.14;343841;11999115;53745;77882;200065;373272;1227781;533823;10133;30652;762703;224557;1676251;724128
24.10.14;332510;11964204;53846;79624;198462;373584;1209004;532415;10150;30777;762782;224734;1650794;723915
25.10.14;338530;11925746;53414;79688;197451;371090;1205339;547436;10157;30825;760759;234323;1646741;732354
26.10.14;335395;11911193;53066;82259;194797;373661;1203600;546265;10180;31195;771004;234517;1969866;724560
27.10.14;331738;10475315;52551;82270;193478;374797;1189081;576199;10206;31206;766906;234361;1922936;722587
28.10.14;329410;10455001;51908;80716;190880;386423;1224315;581652;10229;31179;754695;232646;1917768;720487
29.10.14;327714;9291951;51032;79335;190992;395237;1272697;577647;10294;31405;746429;230421;1911479;718208
30.10.14;324712;9270109;50608;78496;194361;393491;1269377;576133;10334;31469;745017;229278;1908259;716793
31.10.14;321492;9246218;50150;77276;194792;392303;1265694;574917;10390;31834;744732;228833;1908341;713123
01.11.14;321770;9221270;50011;75687;195576;390779;1241145;573051;10445;32135;735472;226971;1841777;706368
02.11.14;319815;9208006;49885;75570;194658;383600;1323979;584522;10495;33012;733647;232354;1800169;711583
03.11.14;323648;9211272;49862;75005;192627;381103;1324027;581542;10559;33644;744117;240337;1768343;705654
04.11.14;319163;9195024;50426;74528;191165;384094;1321270;595869;10551;34042;772169;249529;1763628;714334
05.11.14;318489;;50476;74818;190995;388096;1318266;594525;10593;34164;751689;248420;1757610;735280
06.11.14;318608;9158132;50818;74945;190673;391995;1315458;590483;10613;34603;750477;247056;1754513;734032
07.11.14;343308;9135905;51281;75307;192533;390700;1348293;586503;10713;35122;750332;250773;1754630;733938
08.11.14;338341;;51280;76000;193528;389318;1343738;577952;10719;35509;746568;251287;1750324;749188
09.11.14;334797;9096260;51354;78086;191997;387563;1341343;576851;10749;36053;741204;255262;1746643;747731
10.11.14;329673;9099227;52037;79497;190462;384309;1332307;571373;10734;36651;749786;258373;1742657;745956
11.11.14;327550;9080297;52276;79825;191676;392519;1329152;586658;10773;37141;755835;257608;1737893;735862
12.11.14;326548;9062638;52647;80414;190908;393211;1313836;602485;10818;37417;767642;263897;1732635;728907
13.11.14;325620;9039432;52587;81365;188692;396650;1277875;598355;10858;38052;752757;261832;1729085;723501
14.11.14;326666;9017326;51929;81879;188240;390849;1239266;583642;10943;38767;747766;261662;1728478;719777
15.11.14;328931;16941530;50474;81659;186103;397211;1235395;589415;11002;39625;741473;268799;1723767;740767
16.11.14;324876;16954385;49171;79327;188634;394319;1233007;600309;11036;40265;737563;276265;1718908;746006
17.11.14;321037;16993835;48898;78453;188641;393877;1288495;596068;11107;40901;759132;280857;1713762;774109
18.11.14;317907;16978504;48203;77314;186901;393557;1285062;587052;11209;41618;770217;297994;1818600;771675
19.11.14;317735;16959894;48322;76633;187476;385707;1281110;597777;11290;41904;761149;302812;1811755;768542
20.11.14;323433;16938865;48452;75230;186115;385123;1261152;583397;11421;42596;784457;300953;1807661;787921
21.11.14;320943;16916045;48072;73820;186311;386894;1257447;613258;11519;43350;783993;305135;1969949;809048
22.11.14;318726;16879388;47084;71215;185258;393937;1252543;687073;11605;43825;781490;306072;1964028;806602
23.11.14;312500;16888260;45545;68190;182780;387413;1249757;685297;11610;44434;778630;330465;1957467;817110
24.11.14;307261;16924878;44232;67666;178898;390031;1249206;677388;11684;45330;775604;337934;2134899;849335
25.11.14;307538;16903474;43633;67133;179292;393500;1264830;693753;11752;46226;772568;337730;2127261;846163
26.11.14;312603;16868842;43061;66845;179831;394008;1260740;708273;11849;46654;786393;337205;2101314;861372
27.11.14;313730;16832677;42600;66747;180509;385431;1240149;705548;11929;47513;784482;337587;2096680;859259
28.11.14;310574;16797363;41765;66665;179299;381454;1235564;726250;12009;47655;782684;336217;2092096;880798
29.11.14;315732;16682230;40775;65499;178920;372888;1219941;757848;12059;48738;775130;345276;2134987;950341
30.11.14;310906;16692148;40129;65056;179241;369829;1217466;768491;12117;48621;772621;360253;2076735;909872
01.12.14;301988;16674882;39888;64439;180558;366869;1214623;810500;12244;49675;776645;361974;2208489;888690
02.12.14;298921;16648430;39283;63887;181874;364762;1244913;;12321;51396;777528;375231;2202571;906897
03.12.14;;13416129;38839;63634;182029;364715;1552573;;12425;51776;806158;369337;2130902;904730
04.12.14;295074;13385021;38863;64277;181111;360890;1799350;840066;12463;52455;804235;374412;2075210;902925
05.12.14;295922;13359511;38880;66231;182829;358601;1794593;810500;;53486;911328;376215;2069021;891835
06.12.14;297234;13346417;38764;66610;182465;349772;1790931;904607;12572;53538;908440;383932;2062657;948660
07.12.14;306991;13337030;38855;67701;180777;351401;1787351;902789;12629;53374;1006239;382688;2014130;942022
08.12.14;313678;13301760;38947;67640;180948;354611;1782137;924997;;53974;1027023;384786;2062904;927929
09.12.14;313187;13269036;38849;67994;181501;354984;1882081;921943;12809;54303;1061091;390378;2218509;971381
10.12.14;311561;13231594;39025;68029;183181;351125;1876635;;;54541;1187091;418076;2214097;969134
11.12.14;309911;13194128;;67891;186730;350778;2054968;902403;13192;54402;1184929;411052;2210020;970902
12.12.14;305836;13169683;;66317;186739;351522;1970536;892704;13328;54958;1169991;409881;2203405;1033280
13.12.14;303490;13156513;;;184141;354317;1966680;;;56094;1166140;419277;2196166;1070545
14.12.14;304392;13142502;;;183111;354645;1962970;897395;;55924;1162578;450013;2430899;1120539
15.12.14;300532;13110608;;;181895;381581;2106605;877806;;56831;1102580;465257;2277308;1156762
16.12.14;300750;12947175;37428;;181067;383290;1872831;;13772;57173;1085000;460613;2205432;1153579
17.12.14;298244;;37557;56754;179840;373363;1782166;885838;;58109;1082786;463741;2201051;1151132
18.12.14;296083;;37693;55419;179725;385067;1826625;;13977;58331;1080150;478798;2196267;1161788
19.12.14;293170;12984987;37685;54552;178134;381618;1821532;;14071;59176;;;;
20.12.14;300950;12966974;37271;52328;178185;376468;1817779;879963;14185;59176;;;;
21.12.14;301002;12947175;37089;51207;178060;376043;1768061;912214;;58766;;;;
